source,destination,distance_km,base_time_hr,road_type,road_type_code,src_lat,src_lon,dst_lat,dst_lon
Jaipur,Bikaner,273.7,3.65,highway,2,26.9124,75.7873,28.0229,73.3119
Bikaner,Jaipur,273.7,3.65,highway,2,28.0229,73.3119,26.9124,75.7873
Jaipur,Mathura,197.4,3.59,regional,1,26.9124,75.7873,27.4924,77.6737
Mathura,Jaipur,197.4,3.59,regional,1,27.4924,77.6737,26.9124,75.7873
Jaipur,Meerut,297.7,3.97,highway,2,26.9124,75.7873,28.9845,77.7064
Meerut,Jaipur,297.7,3.97,highway,2,28.9845,77.7064,26.9124,75.7873
Jaipur,Haridwar,409.6,5.46,highway,2,26.9124,75.7873,29.9457,78.1642
Haridwar,Jaipur,409.6,5.46,highway,2,29.9457,78.1642,26.9124,75.7873
Jaipur,Chandigarh,435.7,5.81,highway,2,26.9124,75.7873,30.7333,76.7794
Chandigarh,Jaipur,435.7,5.81,highway,2,30.7333,76.7794,26.9124,75.7873
Jaipur,Amritsar,532.5,7.1,highway,2,26.9124,75.7873,31.634,74.8723
Amritsar,Jaipur,532.5,7.1,highway,2,31.634,74.8723,26.9124,75.7873
Jaipur,Ludhiana,443.6,5.91,highway,2,26.9124,75.7873,30.901,75.8573
Ludhiana,Jaipur,443.6,5.91,highway,2,30.901,75.8573,26.9124,75.7873
Jaipur,Mumbai,920.7,12.28,highway,2,26.9124,75.7873,19.076,72.8777
Mumbai,Jaipur,920.7,12.28,highway,2,19.076,72.8777,26.9124,75.7873
Jaipur,Pune,953.9,12.72,highway,2,26.9124,75.7873,18.5204,73.8567
Pune,Jaipur,953.9,12.72,highway,2,18.5204,73.8567,26.9124,75.7873
Jaipur,Nashik,795.2,10.6,highway,2,26.9124,75.7873,20.0006,73.7828
Nashik,Jaipur,795.2,10.6,highway,2,20.0006,73.7828,26.9124,75.7873
Jaipur,Nagpur,723.5,9.65,highway,2,26.9124,75.7873,21.1458,79.0882
Nagpur,Jaipur,723.5,9.65,highway,2,21.1458,79.0882,26.9124,75.7873
Jaipur,Ahmedabad,540.5,7.21,highway,2,26.9124,75.7873,23.0225,72.5714
Ahmedabad,Jaipur,540.5,7.21,highway,2,23.0225,72.5714,26.9124,75.7873
Jaipur,Surat,705.5,9.41,highway,2,26.9124,75.7873,21.1702,72.8311
Surat,Jaipur,705.5,9.41,highway,2,21.1702,72.8311,26.9124,75.7873
Jaipur,Vadodara,575.8,7.68,highway,2,26.9124,75.7873,22.3072,73.1812
Vadodara,Jaipur,575.8,7.68,highway,2,22.3072,73.1812,26.9124,75.7873
Jaipur,Rajkot,718.6,9.58,highway,2,26.9124,75.7873,22.3039,70.8022
Rajkot,Jaipur,718.6,9.58,highway,2,22.3039,70.8022,26.9124,75.7873
Jaipur,Indore,466.3,6.22,highway,2,26.9124,75.7873,22.7196,75.8577
Indore,Jaipur,466.3,6.22,highway,2,22.7196,75.8577,26.9124,75.7873
Jaipur,Bhopal,437.9,5.84,highway,2,26.9124,75.7873,23.2599,77.4126
Bhopal,Jaipur,437.9,5.84,highway,2,23.2599,77.4126,26.9124,75.7873
Jaipur,Bangalore,1561.5,20.82,highway,2,26.9124,75.7873,12.9716,77.5946
Bangalore,Jaipur,1561.5,20.82,highway,2,12.9716,77.5946,26.9124,75.7873
Jaipur,Chennai,1607.1,21.43,highway,2,26.9124,75.7873,13.0827,80.2707
Chennai,Jaipur,1607.1,21.43,highway,2,13.0827,80.2707,26.9124,75.7873
Jaipur,Hyderabad,1095.1,14.6,highway,2,26.9124,75.7873,17.385,78.4867
Hyderabad,Jaipur,1095.1,14.6,highway,2,17.385,78.4867,26.9124,75.7873
Jaipur,Kochi,1888.9,25.19,highway,2,26.9124,75.7873,9.9312,76.2673
Kochi,Jaipur,1888.9,25.19,highway,2,9.9312,76.2673,26.9124,75.7873
Jaipur,Coimbatore,1771.7,23.62,highway,2,26.9124,75.7873,11.0168,76.9558
Coimbatore,Jaipur,1771.7,23.62,highway,2,11.0168,76.9558,26.9124,75.7873
Jaipur,Kolkata,1357.8,18.1,highway,2,26.9124,75.7873,22.5726,88.3639
Kolkata,Jaipur,1357.8,18.1,highway,2,22.5726,88.3639,26.9124,75.7873
Jaipur,Patna,943.7,12.58,highway,2,26.9124,75.7873,25.5941,85.1376
Patna,Jaipur,943.7,12.58,highway,2,25.5941,85.1376,26.9124,75.7873
Jaipur,Bhubaneswar,1258.9,16.79,highway,2,26.9124,75.7873,20.2961,85.8245
Bhubaneswar,Jaipur,1258.9,16.79,highway,2,20.2961,85.8245,26.9124,75.7873
Jaipur,Guwahati,1588.0,21.17,highway,2,26.9124,75.7873,26.1445,91.7362
Guwahati,Jaipur,1588.0,21.17,highway,2,26.1445,91.7362,26.9124,75.7873
Jaipur,Ranchi,1037.1,13.83,highway,2,26.9124,75.7873,23.3441,85.3096
Ranchi,Jaipur,1037.1,13.83,highway,2,23.3441,85.3096,26.9124,75.7873
Delhi,Agra,178.1,3.24,regional,1,28.6139,77.209,27.1767,78.0081
Agra,Delhi,178.1,3.24,regional,1,27.1767,78.0081,28.6139,77.209
Delhi,Ajmer,349.4,4.66,highway,2,28.6139,77.209,26.4499,74.6399
Ajmer,Delhi,349.4,4.66,highway,2,26.4499,74.6399,28.6139,77.209
Delhi,Noida,19.8,0.57,city,0,28.6139,77.209,28.5355,77.391
Noida,Delhi,19.8,0.57,city,0,28.5355,77.391,28.6139,77.209
Delhi,Gurgaon,24.7,0.71,city,0,28.6139,77.209,28.4595,77.0266
Gurgaon,Delhi,24.7,0.71,city,0,28.4595,77.0266,28.6139,77.209
Delhi,Lucknow,417.0,5.56,highway,2,28.6139,77.209,26.8467,80.9462
Lucknow,Delhi,417.0,5.56,highway,2,26.8467,80.9462,28.6139,77.209
Delhi,Kanpur,390.8,5.21,highway,2,28.6139,77.209,26.4499,80.3319
Kanpur,Delhi,390.8,5.21,highway,2,26.4499,80.3319,28.6139,77.209
Delhi,Varanasi,678.6,9.05,highway,2,28.6139,77.209,25.3176,82.9739
Varanasi,Delhi,678.6,9.05,highway,2,25.3176,82.9739,28.6139,77.209
Delhi,Prayagraj,579.4,7.73,highway,2,28.6139,77.209,25.4358,81.8463
Prayagraj,Delhi,579.4,7.73,highway,2,25.4358,81.8463,28.6139,77.209
Delhi,Jodhpur,490.2,6.54,highway,2,28.6139,77.209,26.2389,73.0243
Jodhpur,Delhi,490.2,6.54,highway,2,26.2389,73.0243,28.6139,77.209
Delhi,Udaipur,566.9,7.56,highway,2,28.6139,77.209,24.5854,73.7125
Udaipur,Delhi,566.9,7.56,highway,2,24.5854,73.7125,28.6139,77.209
Delhi,Kota,400.9,5.34,highway,2,28.6139,77.209,25.2138,75.8648
Kota,Delhi,400.9,5.34,highway,2,25.2138,75.8648,28.6139,77.209
Delhi,Bikaner,387.1,5.16,highway,2,28.6139,77.209,28.0229,73.3119
Bikaner,Delhi,387.1,5.16,highway,2,28.0229,73.3119,28.6139,77.209
Delhi,Mathura,132.8,2.41,regional,1,28.6139,77.209,27.4924,77.6737
Mathura,Delhi,132.8,2.41,regional,1,27.4924,77.6737,28.6139,77.209
Delhi,Meerut,63.6,1.82,city,0,28.6139,77.209,28.9845,77.7064
Meerut,Delhi,63.6,1.82,city,0,28.9845,77.7064,28.6139,77.209
Delhi,Haridwar,174.7,3.18,regional,1,28.6139,77.209,29.9457,78.1642
Haridwar,Delhi,174.7,3.18,regional,1,29.9457,78.1642,28.6139,77.209
Delhi,Chandigarh,239.3,4.35,regional,1,28.6139,77.209,30.7333,76.7794
Chandigarh,Delhi,239.3,4.35,regional,1,30.7333,76.7794,28.6139,77.209
Delhi,Amritsar,404.1,5.39,highway,2,28.6139,77.209,31.634,74.8723
Amritsar,Delhi,404.1,5.39,highway,2,31.634,74.8723,28.6139,77.209
Delhi,Ludhiana,285.8,3.81,highway,2,28.6139,77.209,30.901,75.8573
Ludhiana,Delhi,285.8,3.81,highway,2,30.901,75.8573,28.6139,77.209
Delhi,Mumbai,1148.1,15.31,highway,2,28.6139,77.209,19.076,72.8777
Mumbai,Delhi,1148.1,15.31,highway,2,19.076,72.8777,28.6139,77.209
Delhi,Pune,1173.0,15.64,highway,2,28.6139,77.209,18.5204,73.8567
Pune,Delhi,1173.0,15.64,highway,2,18.5204,73.8567,28.6139,77.209
Delhi,Nashik,1018.6,13.58,highway,2,28.6139,77.209,20.0006,73.7828
Nashik,Delhi,1018.6,13.58,highway,2,20.0006,73.7828,28.6139,77.209
Delhi,Nagpur,851.7,11.36,highway,2,28.6139,77.209,21.1458,79.0882
Nagpur,Delhi,851.7,11.36,highway,2,21.1458,79.0882,28.6139,77.209
Delhi,Ahmedabad,775.7,10.34,highway,2,28.6139,77.209,23.0225,72.5714
Ahmedabad,Delhi,775.7,10.34,highway,2,23.0225,72.5714,28.6139,77.209
Delhi,Surat,937.9,12.51,highway,2,28.6139,77.209,21.1702,72.8311
Surat,Delhi,937.9,12.51,highway,2,21.1702,72.8311,28.6139,77.209
Delhi,Vadodara,809.3,10.79,highway,2,28.6139,77.209,22.3072,73.1812
Vadodara,Delhi,809.3,10.79,highway,2,22.3072,73.1812,28.6139,77.209
Delhi,Rajkot,951.4,12.69,highway,2,28.6139,77.209,22.3039,70.8022
Rajkot,Delhi,951.4,12.69,highway,2,22.3039,70.8022,28.6139,77.209
Delhi,Indore,669.2,8.92,highway,2,28.6139,77.209,22.7196,75.8577
Indore,Delhi,669.2,8.92,highway,2,22.7196,75.8577,28.6139,77.209
Delhi,Bhopal,595.7,7.94,highway,2,28.6139,77.209,23.2599,77.4126
Bhopal,Delhi,595.7,7.94,highway,2,23.2599,77.4126,28.6139,77.209
Delhi,Bangalore,1739.8,23.2,highway,2,28.6139,77.209,12.9716,77.5946
Bangalore,Delhi,1739.8,23.2,highway,2,12.9716,77.5946,28.6139,77.209
Delhi,Chennai,1755.8,23.41,highway,2,28.6139,77.209,13.0827,80.2707
Chennai,Delhi,1755.8,23.41,highway,2,13.0827,80.2707,28.6139,77.209
Delhi,Hyderabad,1255.4,16.74,highway,2,28.6139,77.209,17.385,78.4867
Hyderabad,Delhi,1255.4,16.74,highway,2,17.385,78.4867,28.6139,77.209
Delhi,Kochi,2079.7,27.73,highway,2,28.6139,77.209,9.9312,76.2673
Kochi,Delhi,2079.7,27.73,highway,2,9.9312,76.2673,28.6139,77.209
Delhi,Coimbatore,1956.9,26.09,highway,2,28.6139,77.209,11.0168,76.9558
Coimbatore,Delhi,1956.9,26.09,highway,2,11.0168,76.9558,28.6139,77.209
Delhi,Kolkata,1303.8,17.38,highway,2,28.6139,77.209,22.5726,88.3639
Kolkata,Delhi,1303.8,17.38,highway,2,22.5726,88.3639,28.6139,77.209
Delhi,Patna,853.4,11.38,highway,2,28.6139,77.209,25.5941,85.1376
Patna,Delhi,853.4,11.38,highway,2,25.5941,85.1376,28.6139,77.209
Delhi,Bhubaneswar,1270.2,16.94,highway,2,28.6139,77.209,20.2961,85.8245
Bhubaneswar,Delhi,1270.2,16.94,highway,2,20.2961,85.8245,28.6139,77.209
Delhi,Guwahati,1459.4,19.46,highway,2,28.6139,77.209,26.1445,91.7362
Guwahati,Delhi,1459.4,19.46,highway,2,26.1445,91.7362,28.6139,77.209
Delhi,Ranchi,999.0,13.32,highway,2,28.6139,77.209,23.3441,85.3096
Ranchi,Delhi,999.0,13.32,highway,2,23.3441,85.3096,28.6139,77.209
Agra,Ajmer,343.9,4.59,highway,2,27.1767,78.0081,26.4499,74.6399
Ajmer,Agra,343.9,4.59,highway,2,26.4499,74.6399,27.1767,78.0081
Agra,Noida,162.8,2.96,regional,1,27.1767,78.0081,28.5355,77.391
Noida,Agra,162.8,2.96,regional,1,28.5355,77.391,27.1767,78.0081
Agra,Gurgaon,172.2,3.13,regional,1,27.1767,78.0081,28.4595,77.0266
Gurgaon,Agra,172.2,3.13,regional,1,28.4595,77.0266,27.1767,78.0081
Agra,Lucknow,293.4,3.91,highway,2,27.1767,78.0081,26.8467,80.9462
Lucknow,Agra,293.4,3.91,highway,2,26.8467,80.9462,27.1767,78.0081
Agra,Kanpur,244.4,4.44,regional,1,27.1767,78.0081,26.4499,80.3319
Kanpur,Agra,244.4,4.44,regional,1,26.4499,80.3319,27.1767,78.0081
Agra,Varanasi,536.6,7.15,highway,2,27.1767,78.0081,25.3176,82.9739
Varanasi,Agra,536.6,7.15,highway,2,25.3176,82.9739,27.1767,78.0081
Agra,Prayagraj,428.7,5.72,highway,2,27.1767,78.0081,25.4358,81.8463
Prayagraj,Agra,428.7,5.72,highway,2,25.4358,81.8463,27.1767,78.0081
Agra,Jodhpur,505.9,6.74,highway,2,27.1767,78.0081,26.2389,73.0243
Jodhpur,Agra,505.9,6.74,highway,2,26.2389,73.0243,27.1767,78.0081
Agra,Udaipur,517.3,6.9,highway,2,27.1767,78.0081,24.5854,73.7125
Udaipur,Agra,517.3,6.9,highway,2,24.5854,73.7125,27.1767,78.0081
Agra,Kota,305.6,4.07,highway,2,27.1767,78.0081,25.2138,75.8648
Kota,Agra,305.6,4.07,highway,2,25.2138,75.8648,27.1767,78.0081
Agra,Bikaner,472.2,6.3,highway,2,27.1767,78.0081,28.0229,73.3119
Bikaner,Agra,472.2,6.3,highway,2,28.0229,73.3119,27.1767,78.0081
Agra,Mathura,48.2,1.38,city,0,27.1767,78.0081,27.4924,77.6737
Mathura,Agra,48.2,1.38,city,0,27.4924,77.6737,27.1767,78.0081
Agra,Meerut,203.2,3.69,regional,1,27.1767,78.0081,28.9845,77.7064
Meerut,Agra,203.2,3.69,regional,1,28.9845,77.7064,27.1767,78.0081
Agra,Haridwar,308.3,4.11,highway,2,27.1767,78.0081,29.9457,78.1642
Haridwar,Agra,308.3,4.11,highway,2,29.9457,78.1642,27.1767,78.0081
Agra,Chandigarh,413.1,5.51,highway,2,27.1767,78.0081,30.7333,76.7794
Chandigarh,Agra,413.1,5.51,highway,2,30.7333,76.7794,27.1767,78.0081
Agra,Amritsar,581.2,7.75,highway,2,27.1767,78.0081,31.634,74.8723
Amritsar,Agra,581.2,7.75,highway,2,31.634,74.8723,27.1767,78.0081
Agra,Ludhiana,463.9,6.19,highway,2,27.1767,78.0081,30.901,75.8573
Ludhiana,Agra,463.9,6.19,highway,2,30.901,75.8573,27.1767,78.0081
Agra,Mumbai,1042.0,13.89,highway,2,27.1767,78.0081,19.076,72.8777
Mumbai,Agra,1042.0,13.89,highway,2,19.076,72.8777,27.1767,78.0081
Agra,Pune,1052.1,14.03,highway,2,27.1767,78.0081,18.5204,73.8567
Pune,Agra,1052.1,14.03,highway,2,18.5204,73.8567,27.1767,78.0081
Agra,Nashik,906.5,12.09,highway,2,27.1767,78.0081,20.0006,73.7828
Nashik,Agra,906.5,12.09,highway,2,20.0006,73.7828,27.1767,78.0081
Agra,Nagpur,679.5,9.06,highway,2,27.1767,78.0081,21.1458,79.0882
Nagpur,Agra,679.5,9.06,highway,2,21.1458,79.0882,27.1767,78.0081
Agra,Ahmedabad,716.1,9.55,highway,2,27.1767,78.0081,23.0225,72.5714
Ahmedabad,Agra,716.1,9.55,highway,2,23.0225,72.5714,27.1767,78.0081
Agra,Surat,849.4,11.33,highway,2,27.1767,78.0081,21.1702,72.8311
Surat,Agra,849.4,11.33,highway,2,21.1702,72.8311,27.1767,78.0081
Agra,Vadodara,728.4,9.71,highway,2,27.1767,78.0081,22.3072,73.1812
Vadodara,Agra,728.4,9.71,highway,2,22.3072,73.1812,27.1767,78.0081
Agra,Rajkot,906.9,12.09,highway,2,27.1767,78.0081,22.3039,70.8022
Rajkot,Agra,906.9,12.09,highway,2,22.3039,70.8022,27.1767,78.0081
Agra,Indore,540.9,7.21,highway,2,27.1767,78.0081,22.7196,75.8577
Indore,Agra,540.9,7.21,highway,2,22.7196,75.8577,27.1767,78.0081
Agra,Bhopal,439.6,5.86,highway,2,27.1767,78.0081,23.2599,77.4126
Bhopal,Agra,439.6,5.86,highway,2,23.2599,77.4126,27.1767,78.0081
Agra,Bangalore,1580.1,21.07,highway,2,27.1767,78.0081,12.9716,77.5946
Bangalore,Agra,1580.1,21.07,highway,2,12.9716,77.5946,27.1767,78.0081
Agra,Chennai,1584.8,21.13,highway,2,27.1767,78.0081,13.0827,80.2707
Chennai,Agra,1584.8,21.13,highway,2,13.0827,80.2707,27.1767,78.0081
Agra,Hyderabad,1089.9,14.53,highway,2,27.1767,78.0081,17.385,78.4867
Hyderabad,Agra,1089.9,14.53,highway,2,17.385,78.4867,27.1767,78.0081
Agra,Kochi,1926.3,25.68,highway,2,27.1767,78.0081,9.9312,76.2673
Kochi,Agra,1926.3,25.68,highway,2,9.9312,76.2673,27.1767,78.0081
Agra,Coimbatore,1800.3,24.0,highway,2,27.1767,78.0081,11.0168,76.9558
Coimbatore,Agra,1800.3,24.0,highway,2,11.0168,76.9558,27.1767,78.0081
Agra,Kolkata,1162.7,15.5,highway,2,27.1767,78.0081,22.5726,88.3639
Kolkata,Agra,1162.7,15.5,highway,2,22.5726,88.3639,27.1767,78.0081
Agra,Patna,731.5,9.75,highway,2,27.1767,78.0081,25.5941,85.1376
Patna,Agra,731.5,9.75,highway,2,25.5941,85.1376,27.1767,78.0081
Agra,Bhubaneswar,1103.2,14.71,highway,2,27.1767,78.0081,20.2961,85.8245
Bhubaneswar,Agra,1103.2,14.71,highway,2,20.2961,85.8245,27.1767,78.0081
Agra,Guwahati,1368.3,18.24,highway,2,27.1767,78.0081,26.1445,91.7362
Guwahati,Agra,1368.3,18.24,highway,2,26.1445,91.7362,27.1767,78.0081
Agra,Ranchi,848.7,11.32,highway,2,27.1767,78.0081,23.3441,85.3096
Ranchi,Agra,848.7,11.32,highway,2,23.3441,85.3096,27.1767,78.0081
Ajmer,Noida,356.9,4.76,highway,2,26.4499,74.6399,28.5355,77.391
Noida,Ajmer,356.9,4.76,highway,2,28.5355,77.391,26.4499,74.6399
Ajmer,Gurgaon,324.6,4.33,highway,2,26.4499,74.6399,28.4595,77.0266
Gurgaon,Ajmer,324.6,4.33,highway,2,28.4595,77.0266,26.4499,74.6399
Ajmer,Lucknow,628.2,8.38,highway,2,26.4499,74.6399,26.8467,80.9462
Lucknow,Ajmer,628.2,8.38,highway,2,26.8467,80.9462,26.4499,74.6399
Ajmer,Kanpur,566.6,7.55,highway,2,26.4499,74.6399,26.4499,80.3319
Kanpur,Ajmer,566.6,7.55,highway,2,26.4499,80.3319,26.4499,74.6399
Ajmer,Varanasi,843.0,11.24,highway,2,26.4499,74.6399,25.3176,82.9739
Varanasi,Ajmer,843.0,11.24,highway,2,25.3176,82.9739,26.4499,74.6399
Ajmer,Prayagraj,729.2,9.72,highway,2,26.4499,74.6399,25.4358,81.8463
Prayagraj,Ajmer,729.2,9.72,highway,2,25.4358,81.8463,26.4499,74.6399
Ajmer,Jodhpur,162.7,2.96,regional,1,26.4499,74.6399,26.2389,73.0243
Jodhpur,Ajmer,162.7,2.96,regional,1,26.2389,73.0243,26.4499,74.6399
Ajmer,Udaipur,227.2,4.13,regional,1,26.4499,74.6399,24.5854,73.7125
Udaipur,Ajmer,227.2,4.13,regional,1,24.5854,73.7125,26.4499,74.6399
Ajmer,Kota,184.2,3.35,regional,1,26.4499,74.6399,25.2138,75.8648
Kota,Ajmer,184.2,3.35,regional,1,25.2138,75.8648,26.4499,74.6399
Ajmer,Bikaner,218.7,3.98,regional,1,26.4499,74.6399,28.0229,73.3119
Bikaner,Ajmer,218.7,3.98,regional,1,28.0229,73.3119,26.4499,74.6399
Ajmer,Mathura,322.2,4.3,highway,2,26.4499,74.6399,27.4924,77.6737
Mathura,Ajmer,322.2,4.3,highway,2,27.4924,77.6737,26.4499,74.6399
Ajmer,Meerut,412.9,5.51,highway,2,26.4499,74.6399,28.9845,77.7064
Meerut,Ajmer,412.9,5.51,highway,2,28.9845,77.7064,26.4499,74.6399
Ajmer,Haridwar,519.9,6.93,highway,2,26.4499,74.6399,29.9457,78.1642
Haridwar,Ajmer,519.9,6.93,highway,2,29.9457,78.1642,26.4499,74.6399
Ajmer,Chandigarh,520.0,6.93,highway,2,26.4499,74.6399,30.7333,76.7794
Chandigarh,Ajmer,520.0,6.93,highway,2,30.7333,76.7794,26.4499,74.6399
Ajmer,Amritsar,576.9,7.69,highway,2,26.4499,74.6399,31.634,74.8723
Amritsar,Ajmer,576.9,7.69,highway,2,31.634,74.8723,26.4499,74.6399
Ajmer,Ludhiana,509.0,6.79,highway,2,26.4499,74.6399,30.901,75.8573
Ludhiana,Ajmer,509.0,6.79,highway,2,30.901,75.8573,26.4499,74.6399
Ajmer,Mumbai,839.6,11.19,highway,2,26.4499,74.6399,19.076,72.8777
Mumbai,Ajmer,839.6,11.19,highway,2,19.076,72.8777,26.4499,74.6399
Ajmer,Pune,885.4,11.81,highway,2,26.4499,74.6399,18.5204,73.8567
Pune,Ajmer,885.4,11.81,highway,2,18.5204,73.8567,26.4499,74.6399
Ajmer,Nashik,722.4,9.63,highway,2,26.4499,74.6399,20.0006,73.7828
Nashik,Ajmer,722.4,9.63,highway,2,20.0006,73.7828,26.4499,74.6399
Ajmer,Nagpur,743.3,9.91,highway,2,26.4499,74.6399,21.1458,79.0882
Nagpur,Ajmer,743.3,9.91,highway,2,21.1458,79.0882,26.4499,74.6399
Ajmer,Ahmedabad,434.6,5.79,highway,2,26.4499,74.6399,23.0225,72.5714
Ahmedabad,Ajmer,434.6,5.79,highway,2,23.0225,72.5714,26.4499,74.6399
Ajmer,Surat,615.2,8.2,highway,2,26.4499,74.6399,21.1702,72.8311
Surat,Ajmer,615.2,8.2,highway,2,21.1702,72.8311,26.4499,74.6399
Ajmer,Vadodara,483.7,6.45,highway,2,26.4499,74.6399,22.3072,73.1812
Vadodara,Ajmer,483.7,6.45,highway,2,22.3072,73.1812,26.4499,74.6399
Ajmer,Rajkot,602.9,8.04,highway,2,26.4499,74.6399,22.3039,70.8022
Rajkot,Ajmer,602.9,8.04,highway,2,22.3039,70.8022,26.4499,74.6399
Ajmer,Indore,432.7,5.77,highway,2,26.4499,74.6399,22.7196,75.8577
Indore,Ajmer,432.7,5.77,highway,2,22.7196,75.8577,26.4499,74.6399
Ajmer,Bhopal,451.7,6.02,highway,2,26.4499,74.6399,23.2599,77.4126
Bhopal,Ajmer,451.7,6.02,highway,2,23.2599,77.4126,26.4499,74.6399
Ajmer,Bangalore,1530.1,20.4,highway,2,26.4499,74.6399,12.9716,77.5946
Bangalore,Ajmer,1530.1,20.4,highway,2,12.9716,77.5946,26.4499,74.6399
Ajmer,Chennai,1598.2,21.31,highway,2,26.4499,74.6399,13.0827,80.2707
Chennai,Ajmer,1598.2,21.31,highway,2,13.0827,80.2707,26.4499,74.6399
Ajmer,Hyderabad,1083.0,14.44,highway,2,26.4499,74.6399,17.385,78.4867
Hyderabad,Ajmer,1083.0,14.44,highway,2,17.385,78.4867,26.4499,74.6399
Ajmer,Kochi,1844.7,24.6,highway,2,26.4499,74.6399,9.9312,76.2673
Kochi,Ajmer,1844.7,24.6,highway,2,9.9312,76.2673,26.4499,74.6399
Ajmer,Coimbatore,1733.2,23.11,highway,2,26.4499,74.6399,11.0168,76.9558
Coimbatore,Ajmer,1733.2,23.11,highway,2,11.0168,76.9558,26.4499,74.6399
Ajmer,Kolkata,1452.9,19.37,highway,2,26.4499,74.6399,22.5726,88.3639
Kolkata,Ajmer,1452.9,19.37,highway,2,22.5726,88.3639,26.4499,74.6399
Ajmer,Patna,1053.0,14.04,highway,2,26.4499,74.6399,25.5941,85.1376
Patna,Ajmer,1053.0,14.04,highway,2,25.5941,85.1376,26.4499,74.6399
Ajmer,Bhubaneswar,1330.0,17.73,highway,2,26.4499,74.6399,20.2961,85.8245
Bhubaneswar,Ajmer,1330.0,17.73,highway,2,20.2961,85.8245,26.4499,74.6399
Ajmer,Guwahati,1703.4,22.71,highway,2,26.4499,74.6399,26.1445,91.7362
Guwahati,Ajmer,1703.4,22.71,highway,2,26.1445,91.7362,26.4499,74.6399
Ajmer,Ranchi,1129.7,15.06,highway,2,26.4499,74.6399,23.3441,85.3096
Ranchi,Ajmer,1129.7,15.06,highway,2,23.3441,85.3096,26.4499,74.6399
Noida,Gurgaon,36.6,1.05,city,0,28.5355,77.391,28.4595,77.0266
Gurgaon,Noida,36.6,1.05,city,0,28.4595,77.0266,28.5355,77.391
Noida,Lucknow,397.2,5.3,highway,2,28.5355,77.391,26.8467,80.9462
Lucknow,Noida,397.2,5.3,highway,2,26.8467,80.9462,28.5355,77.391
Noida,Kanpur,371.4,4.95,highway,2,28.5355,77.391,26.4499,80.3319
Kanpur,Noida,371.4,4.95,highway,2,26.4499,80.3319,28.5355,77.391
Noida,Varanasi,658.9,8.79,highway,2,28.5355,77.391,25.3176,82.9739
Varanasi,Noida,658.9,8.79,highway,2,25.3176,82.9739,28.5355,77.391
Noida,Prayagraj,560.0,7.47,highway,2,28.5355,77.391,25.4358,81.8463
Prayagraj,Noida,560.0,7.47,highway,2,25.4358,81.8463,28.5355,77.391
Noida,Jodhpur,501.0,6.68,highway,2,28.5355,77.391,26.2389,73.0243
Jodhpur,Noida,501.0,6.68,highway,2,26.2389,73.0243,28.5355,77.391
Noida,Udaipur,571.6,7.62,highway,2,28.5355,77.391,24.5854,73.7125
Udaipur,Noida,571.6,7.62,highway,2,24.5854,73.7125,28.5355,77.391
Noida,Kota,399.2,5.32,highway,2,28.5355,77.391,25.2138,75.8648
Kota,Noida,399.2,5.32,highway,2,25.2138,75.8648,28.5355,77.391
Noida,Bikaner,403.5,5.38,highway,2,28.5355,77.391,28.0229,73.3119
